,Actb,Ahcy,Aqp3,Atp12a,Bmp4,Cdx2,Creb312,Cebpa,Dab2,DppaI,Eomes,Esrrb,Fgf4,Fgfr2,Fn1,Gapdh,Gata3,Gata4,Gata6,Grhl1,Grhl2,Hand1,Hnf4a,Id2,Klf2,Klf4,Klf5,Krt8,Lcp1,Mbnl3,Msc,Msx2,Nanog,Pdgfa,Pdgfra,Pecam1,Pou5f1,Runx1,Sox2,Sall4,Sox17,Snail,Sox13,Tcfap2a,Tcfap2c,Tcf23,Utf1,Tspan8
2,1.56367013,0.35869882,1.89052448,0.51628977,0.00718563,-0.1967025,-1.4553279,-1.3206214,1.85568747,-0.7037648,1.17683023,-1.1447676000000002,-1.9982782,-0.3697647,-0.5895509,-1.5636701000000002,0.41742954,-1.5991806999999998,0.89306315,-1.564387,-1.4151913,0.07906719,-1.1646266,-0.3048517,-0.7494695,-1.1548097,0.31082138,1.63017529,0.17599763,-0.9408122999999999,0.6027593000000001,0.72602805,1.28617674,0.87480348,0.51776559,-1.5334621000000002,-0.6505865,1.11607434,-0.7904369000000001,-1.4340178999999997,0.3837197,-1.8780126,-1.6219484,-0.09440760000000001,-1.2473758999999998,0.5501579000000001,-0.260206,-0.7251889
2,1.62252598,0.75106128,-0.49233530000000003,0.62798809,0.10647801,-0.4695594,0.53280495,-1.1030403999999998,0.77693722,-0.44343,-0.6368968,-1.3591293,0.51116471,0.15936643,-0.7037876999999999,-1.6225258999999999,0.71921079,-1.1693438,0.81179919,-2.0438181,-1.0106493,-0.24929770000000004,-1.2732341,-0.402477,-0.9515680000000001,-1.1497098999999997,0.56204363,1.71184742,0.20742995,-1.0441742,0.70974941,0.83972677,-0.3199803,-0.5552511,-0.7704871,-1.5457061,-0.7589916,1.20633161,-2.0988743999999997,-1.1672506,2.23213204,-1.5883319,-0.5630533000000001,-0.6919004,-0.5982050999999999,0.63015091,1.03841377,-0.5926577
2,2.49064986,0.6478079999999999,-0.3665907,0.38464532,-0.1098375,0.80832036,0.34151771,-1.2471143,1.74513232,-0.4981003,0.02042705,-1.2971451999999999,-1.0379607,-0.0600294,-1.0979043,-2.4906498,0.30074078,-1.27973,0.88993762,-1.8945912,-1.2770549999999998,0.74008951,-1.5009595,-0.3180443,-1.0724103,-1.1012617,0.05959912,1.53391885,0.13670722,-1.5276408000000001,0.47666382,-0.7886013000000001,-0.1896794,-0.6372287,-0.4906514,-1.4502027,-0.7729793,1.00969971,-1.6566224999999999,-1.2260299,-0.6893994000000001,-1.6821133999999998,-1.4766731000000002,-1.1035873999999999,-0.6763009,0.45588042,0.86545349,-0.5866336
2,1.79173657,0.93433585,1.98326111,-1.3047917,0.11179725,0.4877135,0.53750873,0.76550996,1.95451707,-0.5827091,0.98815392,-0.6992568,-1.8826196,-0.0449728,-0.2368451,-1.7917365,0.80572142,-1.4561805,2.10733423,-1.8390279999999999,-1.3239226999999998,0.87422553,-1.418628,-0.35630290000000003,-0.7838470999999999,-1.0464387,0.10941043,1.71622271,0.87733133,-0.4990239000000001,0.71548102,0.84581778,0.36476379,0.58105022,0.59213634,-1.4930568000000002,-0.4495125,1.21116682,-0.7080053000000001,-0.9886521,-0.1339303,-1.7665168000000002,-1.4266339,-1.0981226,-1.0008861999999998,0.63443625,0.2600925,-0.8893468000000001
2,1.54895616,2.66124695,1.93453509,-0.8440360999999998,0.05683182,0.97658212,-0.6055108,-0.8413550999999999,1.90258965,-0.5059103,0.52762142,-1.0440434,-1.9515474999999998,-0.1675764,-0.8265921,-1.5489561,0.62264079,-1.5757655000000002,2.05888841,-1.5580368999999998,-1.5779948000000001,-0.1140886,0.27179538,-0.3945614,-0.8786459000000001,-1.1701091000000001,0.09425047,1.58642236,1.73189761,-0.2939673,0.65625435,0.78287741,0.07889975,-0.017842,0.43205014,-1.6461072,-0.44776409999999994,-0.3344888,-1.1280138000000002,-1.2757661,-0.07956519999999999,-1.8321638999999998,-1.609035,0.58323655,-1.2376139,0.59015441,0.99871797,-1.0324202
2,2.23315549,2.68447894,0.38316129,0.59009044,0.07278953,0.59685626,0.50301431,0.73316684,1.91766535,-0.4239049,0.45255666,-1.0505001,-1.1746482,0.62612039,-0.3539377,-2.2331554,1.09140767,-1.3006364,2.07295332,-1.5500993,-1.1167182,-0.6366826,-1.1803921999999998,0.89699438,-0.9963629999999999,-1.3065291,1.51278992,1.68413723,0.62587275,-1.2025511,0.67344919,0.80115042,1.33537194,-0.12486839999999999,-0.55998,-1.4710176000000001,-0.5544207,-0.4166874,-0.2055654,-0.7490137,-0.22375079999999997,-1.7310881999999999,0.02289017,-1.1673443000000001,-0.4298112,-0.4340418,1.01147733,-0.9074191999999999
2,1.68873882,1.81715139,2.07128232,-1.3047917,0.21108964,0.16483283,-1.1025441,-1.0192423000000002,2.04832144,-0.7883736,0.83802438,-1.1434763000000001,-1.7961676,0.26046060000000004,-0.24826869999999998,-1.6887387999999999,0.74134142,-1.5398063999999998,2.19484926,-1.4992986000000001,-1.1413853999999999,-1.1474725000000001,-0.9631772,0.00781291,-0.5900826,-1.0617381000000001,0.15272461,1.79789484,1.24666112,-1.1025236,0.82247112,-0.8880877,1.17050152,0.57194159,-0.1944289,-1.3069476,-0.38307070000000004,1.30142409,-0.5038891,-1.1559469,0.88246011,-1.8061135,-1.523484,0.09686288,-1.2351733999999999,0.71442927,0.79882125,-0.7477794
2,1.26203386,1.62613282,1.92981966,-1.5361666999999999,0.05151259,-0.3717857,-1.5258847,-1.2221218999999999,1.89756442,-0.5150220999999999,-0.24940029999999996,-0.9239492,-1.7190618000000002,-0.2772743,-0.6880801,-1.2620338,0.38322766,-1.5498415,2.0542001,-1.7914023999999997,-1.4028577,0.83774053,-1.6008083999999998,-0.0238493,-0.6338359,-1.199433,0.36496409999999996,0.38321689,1.73386213,-1.0891866000000001,0.65052274,0.77678641,0.4179478,0.75411415,-0.8171264,-1.4587735000000002,-0.3376105,-0.4714865,-1.0481991,-1.1242965,-0.22847820000000002,-1.8436261000000003,-1.2619886,-1.1054091000000001,-1.2302924,-0.5740295999999999,0.99446485,-0.7929605
2,0.78383003,0.79752525,0.73996155,-1.9091593,0.07101645,0.34446362,0.50144638,-1.3676659,0.85064065,-0.43041320000000005,0.30039834,-1.204169,-1.9749128,-0.2278027,-1.0350741,-0.78383,1.08537205,-1.5088648,0.82742688,-1.6278878,-1.4299916000000001,-1.4833491,0.28580925,-0.2283346,-0.9369834999999999,-1.2415065,0.08991905,-0.23078249999999997,0.66319863,-1.5409778,0.67153866,0.79912009,-0.019490599999999997,0.89302073,-0.3066153,-1.4526515,-0.2519355,-0.8502447,-1.3766169,-1.1220358,-0.051200800000000005,-1.7738109,-1.5315549,-0.84856,-1.1741611,-0.1783499,1.01005963,-1.1739875
2,1.41653049,0.72008529,0.67708926,-0.5009627000000001,0.33343204,1.04479634,-1.0194439,-1.1412641000000001,2.16390182,-0.5059103,-0.7221055000000001,-0.9329885,-1.7249032,-0.0643313,-0.3239506,-1.4165303999999999,3.65252459,-1.3717184,0.68365218,-1.488186,-1.1043846000000002,-1.3674556,0.54506591,-0.5871734000000001,-1.0682433,-1.0961618,0.9605341000000001,0.23883223,0.00311985,-1.3509254,0.95429822,1.09960957,0.71976705,0.63797915,-0.412499,-1.1098188,0.1047521,0.17159649999999999,-1.3347468999999998,-0.49355,-0.1268392,-1.8196596999999999,-1.1215559,1.37017822,-0.6860628000000001,0.33017711,0.09705617,-1.0595288
2,2.16694265,0.91110386,0.7085254,0.88329852,0.33343204,0.17165425,-1.2640407,-0.9060414000000001,2.16390182,-0.23255879999999998,1.76517571,-0.9536498999999999,-1.9749128,0.39166794,-0.9465406999999999,-2.1669426,1.58029331,-1.4536717,2.30268028,-1.4500855,-1.4299916000000001,-0.008926,-1.0279913,-0.0146145,-0.8682284,-0.9992654000000001,1.35469316,0.28258516,-0.0283124,0.0928059,0.95429822,1.09960957,1.53082318,-0.9378135,-0.170479,-1.3865338,-0.45475790000000005,1.41263394,-1.5257788,-0.9773484,0.42153887,-1.7508866,-1.3281695,-0.7319760999999999,-0.9886838,0.81299209,1.2198803,-0.8607321
2,2.44650797,3.00714543,0.49475961,0.83941704,-0.1807606,0.59003484,0.69900533,0.91693458,2.12705011,-0.47206679999999995,1.48926197,-0.5636665,-1.893134,-0.1632745,-0.8808546,-2.4465079,1.97462081,-1.4469816999999998,2.26829938,-1.719964,-0.9415812,0.98475361,-1.4729318,-0.6636905,-0.2431817,-1.0222146,0.37146123,0.56260389,2.00300139,-0.1072492,0.91226639,1.05494221,1.50157197,3.54363151,-0.5435933000000001,-1.3277625,-0.6540834,0.23928945,-1.4865256000000002,-0.5749367,-0.0039268,-1.7717269,-1.3313979,-0.6190354,-1.1009464,0.78156626,1.18869074,-0.689044
2,1.39445954,0.42323212,0.48061334,-0.44311890000000004,-0.0796952,-0.5491427,-1.4255373,0.60673463,0.73841042,-0.2312571,0.367348,-1.0789095,-2.0134657,-0.1654254,-0.9251212999999999,-1.3944595,0.46370266,-1.6669177,0.60082545,-1.6263003,-0.9095138,0.75833201,-2.0772801,-0.6729254,-0.9338583,-1.1637343,0.38228978,1.55871218,0.75553108,-1.0458413,0.50914296,-0.713479,0.24775898,0.31690001,0.45600005,-1.5616233999999998,-0.5858931,1.03709923,-1.0037121999999998,-1.2554195,-0.6019426,-1.9645,-1.6655308999999998,-0.8795276,-1.4548176000000002,-1.0597014999999999,0.88955451,-1.1001918
2,1.71816675,0.33030416,1.97697388,0.62599347,0.10470494,-0.14895260000000002,0.53123702,0.75962939,1.94781676,-0.4343183,1.31681588,-0.4564857,-1.9083215,0.66053542,-0.8165964,-1.7181667,0.62867641,-1.5816193,2.10108316,-1.4421479,-1.215387,0.14452557,-1.8040095,-0.48295190000000005,-0.9755280999999999,-0.9852409,0.43859821,1.71038899,1.28595153,-1.0958551,0.70783887,0.83769644,0.58547743,0.25313961,-0.07341879999999999,-1.4220415000000002,-0.5544207,1.20471987,-0.9618421999999999,-1.0926462,0.11662175,-1.8498782,-1.5428541,1.1351886999999998,-1.0838629,-0.8825741,1.03699606,-0.7477794
2,1.18110706,2.58896965,0.65822757,0.51628977,0.00718563,0.43996354,-0.9692702,-1.5587844,1.85568747,-0.44603329999999997,-0.1418751,-1.0207994,-1.8393936000000002,-0.0600294,-0.7666178000000001,-1.181107,1.4917708,-1.6276135,-0.1977492,-1.2913333999999999,-1.2277206,-1.5606115,0.22274682,-0.4262237,-1.3245125,-1.1624594,0.89123141,-0.14035970000000003,0.12884914,-0.9574835999999999,0.6027593000000001,0.72602805,1.00430149,0.50590404,-0.588972,-1.1612437,-0.1924876,-0.5472381,-1.0207219,-1.2802876,-0.6137611,-1.8092395000000001,-1.3378546,-0.8048411,-1.2668998,-1.112554,-0.3622809,-0.8788045
2,0.83532891,1.42995159,0.86413432,-0.2476469,0.10825109,-0.226262,-0.7952302,-1.5984782,1.95116691,-0.5228321,0.46472932,-0.7328315,-1.9200042000000002,0.16581925,-0.8337319,-0.8353289,0.95862392,-1.5749292,0.50393381,-1.4294476999999999,-1.0969845,-1.2054193000000002,0.32259567,-0.23493089999999997,-1.0234483,-1.0719377,0.29999283,1.71330585,0.77517628,-0.8524546000000001,0.71165994,-1.0342718000000002,1.0747703000000002,-0.15674860000000002,-0.43392790000000003,-1.2726643,-0.313132,-0.4714865,-1.0534328000000002,-1.0338669,0.53263271,-1.6685671999999998,-1.132855,1.13883194,-1.2791021999999999,-0.6225968000000001,-0.1056759,-1.0158538000000001
2,-0.0548659,0.81817591,1.72391291,0.30486081,-0.7304149000000001,-0.5877974,-0.9661343000000001,0.52293654,1.6781292,-0.6933514000000001,1.17683023,-0.9433191999999999,-1.9024801,-0.072935,-1.2892508,0.05486591,0.73128204,-1.6660814,0.29296007,-1.9549169999999998,-1.400391,-0.7236026999999999,-1.8968515,-0.7613158,-1.1099131000000002,-1.2772052,0.66599767,1.47558162,1.32327741,-0.6173898,0.40024232,0.51081261,-0.054060199999999996,0.6561964,0.38415034,-1.1245116000000002,-0.47923649999999995,-0.5988137,-1.5624149999999999,-1.4204535,-0.6421255,-1.8738446,-1.5283265,-0.7246895999999999,-1.1643991000000002,0.39874255,0.8087451999999999,-1.4179653
2,0.85739985,1.11761042,1.81507773,0.42054836,-0.0779221,-0.6150831,-1.4239693000000002,-0.0974633,1.77528372,-0.5762008000000001,-0.4745946,-1.1344368999999999,-1.6734993000000002,-0.4945192,-1.0921925,-0.8573997999999999,0.31281203,-1.5891456,0.25232809,-1.6628131999999998,-1.4941263,-0.5604933000000001,-1.3818416,-0.20722649999999998,-1.0140726,-1.1905084,1.6015840000000001,1.56017061,1.59045216,-0.9274753000000001,0.5110534999999999,0.628572,0.04167094,1.02965015,0.45726057,-1.308172,-0.5736538,-0.6665066999999999,-1.5519475,-1.2531587,-0.32538979999999995,-1.7613067,-1.1215559,0.9475614,-1.0472556,-0.8668611999999999,-0.2545352,-1.3516997
4,-0.1725776,0.29158418,0.24641406,0.18119482,-0.2906915,-0.6969401999999999,-1.1135196000000003,-1.1236224,1.57427436,-0.021687599999999998,1.05104602,-1.0182167,-1.8090186000000001,-0.7612358,-0.7780414999999999,0.17257762,0.38926329,-1.4453091,-0.0352212,-0.5293236,-0.7393102,-1.7451826000000001,-1.4729318,0.03287886,-1.1974197,-1.0196646999999999,-0.18296020000000002,1.3851589,0.30172692,-1.490964,0.28178899,0.38493188,-0.7454523000000001,-1.2702784,-0.5587194999999999,-1.0167642,-0.5876416,-0.8405742,-0.7695019000000001,-1.1401217,-0.6326706999999999,-1.4174411,-0.28541609999999995,-0.5206677,-1.5646396999999999,0.31017886,0.72084735,-0.9842270000000001
4,-0.7611361,1.80940739,0.04522273,-0.0860832,-0.528284,-0.7742496,-0.0285133,0.23478872,0.42852099,0.51460212,0.77918984,-1.2893972,-1.7085473999999998,0.64547884,-1.0293623,0.76113618,-0.3470829,-1.380081,0.58676054,-0.9230287,-0.9119805000000001,-1.8546376,-0.3062768,0.75847205,-1.6912064999999998,-1.3868511000000001,0.77428312,1.18972917,1.09146403,-1.6243341,0.02577695,0.11286707,-0.7879995,-0.090711,0.13708817,0.30069313,-0.2484386,-0.5859198,0.44734488,-1.3164595,1.38592792,-1.2319621,-1.018249,-0.9432845,-1.5890446000000003,-0.9011439,0.53087458,-0.731213
4,0.00398994,-0.2608208,-0.8004095,0.16124869,-0.3084223,-0.29220240000000003,-1.0570742,-1.7851862,1.55752358,0.67600971,1.03075825,-1.2377438,-1.7272397000000002,0.47340365,-1.5320038,-0.0039899,2.92422583,-1.577438,-0.5165539000000001,-1.1611568,-1.2326540000000001,-1.5756347,-1.4659249,-0.0251685,-1.5807816000000001,-1.1089114,0.67032909,1.37057459,1.33506453,-1.4676242,0.26268361,0.36462853,-1.2374044,-0.568914,-0.5435933000000001,-0.2821225,-0.7450038,-0.49243909999999996,-0.0263094,-1.2079438999999998,-0.9446789000000001,-1.348668,-1.4831298000000002,-1.464269,-1.6232115,0.29589439,0.70667028,-0.8245872
4,-0.34914509999999993,0.22446955,-0.7469680999999999,0.05353959999999999,-0.4041685,-0.5514165,0.08124164,-2.0262895,1.46706936,0.60571931,0.92120426,-1.3100586,-2.1594994,0.18947959,0.31577498,0.34914519,0.05931578,-1.5690754,-0.1508661,0.61369109,-1.4595922,-1.6421662000000001,-0.1836554,0.85082027,-1.6578707,-1.2695553999999998,0.07259337,1.29181933,0.98930898,-1.504301,0.15951458,0.25499048,-0.7427931,2.64643164,0.22532466,-1.1171652,-0.6540834,-0.5762494,-0.4973469,-1.3074165,-0.7650378000000001,-1.6967017,-1.2668311,-1.2821066,-1.7842839,-1.2525418,0.63011409,-1.1257944
4,0.03341787,-0.27630879999999997,-0.7689734,0.08944263,-0.3722531,-0.1785121,0.10946434,-1.6293511999999999,-0.5832261,0.62914944,0.95772226,-1.3978694,-1.9912686000000002,-0.288029,-1.4291908000000002,-0.033417800000000004,-0.08956289999999999,-1.5406426000000002,1.4650364,-1.5262864999999999,-0.8577127,-1.7945447,-0.15212420000000001,0.87456696,-1.6328688,-1.1548097,0.46675243,1.17514486,1.26434181,-1.2675691,0.19390426,0.2915365,-0.7135419,-0.3093181,-0.5057775999999999,-1.8077283,-0.734513,-0.7954456,-0.7825863000000001,-1.4837542,-0.9919529,-1.8050714,-1.4895865,0.64517178,-1.7403551,0.24447031,0.16794153,-0.7010923000000001
4,-0.22407649999999998,0.60908802,0.19768803,0.1153726,-0.3492031,-0.1716906,0.12984741,0.38327306,1.51899678,0.64607121,0.98409636,-1.1460589,-1.8078503000000001,-0.7762924,-1.0564935,0.22407649999999998,0.11363641,-1.5197361999999999,1.70101444,-0.9277912,-0.6825756,-1.1324493,-0.12935170000000001,-0.1030049,-1.363057,-1.2351317,0.36496409999999996,1.33703068,0.30762048,-0.4690156,0.21874125,0.31793084,-0.8691051,-0.5165394,-0.496954,-1.2849084,-0.1627636,-0.34899450000000004,-0.1610785,-1.0609958000000002,-0.4743029,-1.4997605,-0.6712026,-0.4860568,-1.4938655,-1.2996805,0.67406301,-0.5760914
4,-0.5698546,-0.518954,-0.5300587,0.00167967,-1.2268768,0.45360639,0.0404755,-1.6852166000000002,0.25096272,0.07463626,0.8278805,-1.5838218000000002,-1.2973165,-1.3161783,-1.5748426000000002,0.56985465,0.11967203,-1.6092158,-0.8697396000000001,-1.2405328000000002,-1.1537190000000002,-1.5219803,-0.2292005,0.8165195,-1.6620377,-1.037514,-0.1483089,1.25390012,0.47853373,-0.8441190000000001,0.1098406,0.20220178,-0.9688252,-0.4778277,0.19255111,-1.3130696000000002,-0.3498498,-0.9856306,-0.9186638,-1.3978461000000002,-0.77922,-1.7633908,-0.8923438,-0.9615007,-1.7159502,0.18161866,-0.7875930999999999,-0.942058
4,0.10698769,-0.1472422,-0.812984,0.10141031,-0.36161459999999995,-0.9288685,-1.3581164,-1.6322915,0.03655273,0.63695949,0.96989492,-1.4211135,-1.9468743999999998,-1.5828948,-1.2949627000000001,-0.1069876,-0.2102754,-1.4754145,-0.6759563000000001,0.65179159,-1.51386,-1.4747643999999998,-0.14161379999999998,0.35741690000000004,-1.6328688,-1.1293106000000002,0.56637505,-0.1170248,0.5531855,-0.7307544,0.20536748,0.3037185,-1.1416732,2.70108341,-0.42006220000000005,-1.3522505,-0.7310161000000001,0.78083306,-0.7066969,-1.4114105,-1.1337747999999999,-1.3007351999999999,-0.9439972,-1.5043448,-1.5597587,-0.9382834999999999,0.66413906,-0.9962753000000001
4,0.42333791,-0.542186,-0.7171038000000001,0.03558809,-0.42012619999999995,-1.076666,0.06713028,-2.0601028,0.25263779,0.59400424,0.90294526,-1.2442004999999998,-1.8989753,-1.4043668,-1.0079429,-0.4233379,0.17399266,-1.40266,-0.23681839999999998,-0.6896631999999999,-1.4719258,-1.8192256999999998,-0.1994211,0.83894693,-1.5651555,-1.3014293,0.18737596,-0.1972385,1.06985431,-1.4026063,0.03532964,0.23671747,-0.3186507,0.21670509999999998,-0.8146053000000001,-1.3583725,-0.6313533,-1.0613822,-0.7786609999999999,-1.1830758,0.05043819,-1.3101133999999999,-0.8584461999999999,-1.0689766,-1.2351733999999999,-1.5767992,0.61735472,-0.8893468000000001
4,-0.6139965000000001,-0.8338764999999999,-0.9953136,-0.1618785,-0.595661,-0.9106780999999999,-0.0880945,-2.290915,-0.5296236,0.4651385,-0.206796,-1.165429,-2.1314610000000003,-1.1699144,-1.1521668,0.61399654,-0.43962920000000005,-1.7296369999999999,-0.185247,-0.8436527,-1.8246667,-1.6743588,-0.3728427,0.70834016,-1.7224589,-1.2032578999999999,0.41477541,1.13430879,1.01681226,-0.4973567,-0.0468234,0.03571437,-0.7055643,0.51501267,-0.1049319,-1.2787863000000002,-0.6400956999999999,0.56808379,-0.5967882,-1.424975,-0.0370186,-1.596668,-1.0989575,-0.9906466999999999,-1.5646396999999999,-1.1696919,-0.6741765000000001,-1.2071203000000001
